Survey order	Use case	Must have	Nice to have	Not important	Weighted Score	Caleb Sunstrum	Barry Revzin	Alisdair Meredith	Lisa Lippincott	Timur Doumler	John Lakos	Attila Fehér	Fabio Fracassi	Rostislav Khlebnikov	Vittorio Romeo	Andrzej Krzemienski		Ville Voutilainen	Tomasz Kamiński	Miguel Ojeda	Gašper Ažman	Jonathan Caves		Joshua Berne	Balog Pal	Tom Honermann	John McFarlane	Roger Orr	Aaron Ballman	Dr Peter Brett	Thomas Russell	Tony Van Eerd	Hal Finkel	Herb Sutter	Ryan McDougall
64	As a: C++ API DeveloperIn order to: Express public class invariantsI want to: Express a restriction on the public interface of a type that all callers of the type can depend upon: can mention only public members, and is checked on entry and exit from this type’s code	1	18	9	0.71	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have
65	As a: C++ API DeveloperIn order to: Express public class invariantsI want to: Check invariants before and after every public method (when called from outside the type, not when one member function calls another)	3	20	5	0.93	Must have	Nice to have	Not important	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have
66	As a: C++ API DeveloperIn order to: Express public class invariantsI want to: Check invariants before and after calling functions that are not part of this type (including virtual calls)	1	19	8	0.75	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have
67	As a: C++ API DeveloperIn order to: Express base class invariantsI want to: Express a restriction on the protected interface of a type that derived types can depend upon: can mention only protected and public members, and is checked on entry and exit from this type’s code	0	15	13	0.54	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important
68	As a: C++ API DeveloperIn order to: Express base class invariantsI want to: Check invariants on entry and exit of every protected method (when called from the derived type, not when one base member function calls another)	1	13	13	0.56	Must have	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important		Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important
69	As a: C++ API DeveloperIn order to: Express base class invariantsI want to: Check invariants before and after every call to a virtual function (when calling to the derived type)	1	18	9	0.71	Nice to have	Not important	Not important	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important
70	As a: C++ API DeveloperIn order to: Express private class invariantsI want to: Express an internal restriction on the private implementation of a type, can mention any member, and is checked on entry and exit from this type’s code	3	14	11	0.71	Must have	Not important	Not important	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Not important
71	As a: C++ API DeveloperIn order to: Express private class invariantsI want to: Check invariants on entry and exit of every public method (when called from outside the type, not when one member function calls another)	3	17	8	0.82	Must have	Not important	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important
72	As a: C++ API DeveloperIn order to: Express private class invariantsI want to: Check invariants before and after calling functions that are not part of this type (including virtual calls)	1	15	12	0.61	Nice to have	Not important	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Not important
73	As a: C++ API DeveloperIn order to: Test my classesI want to: For every member or friend function in my class, run my unit test framework with checking enabled for every assertion at the point where it is written, and check every postcondition at every non-exceptional exit, and test my class invariants on entry and exit from this type’s code	10	9	9	1.04	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Not important	Not important	Must have	Must have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Must have	Not important
74	As a: C++ API DeveloperIn order to: Enforce contracts in async codeI want to: Express contracts on callbacks such as std::function, function pointers, or references to functions, lambdas, or function objects	5	19	4	1.04	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have
75	As a: C++ API DeveloperIn order to: Enforce contracts in exception safe codeI want to: Express contracts on exceptional exit	6	13	9	0.89	Must have	Must have	Nice to have	Must have	Not important	Not important	Nice to have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Not important	Not important
76	As a: C++ API DeveloperIn order to: Use contracts with variadic templatesI want to: Allow predicate (fold) expansion	11	14	3	1.29	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Must have	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Not important
77	As a: C++ API DeveloperIn order to: Use coroutinesI want to: Define and check pre and post conditions as I would a regular function	11	13	4	1.25	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have
78	As a: C++ API DeveloperIn order to: Use coroutinesI want to: Define and check invariants over all entry and exit points from a coroutine (to its awaiter or promise)	4	18	6	0.93	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Nice to have	Nice to have	Not important	Nice to have	Must have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important
79	As an: Integration DeveloperIn order to: Conform to a contractI want to: Be informed any time an interface’s contract is violated	15	11	2	1.46	Must have	Must have	Not important	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have
80	As an: Integration DeveloperIn order to: Conform to a contractI want to: Verify results from a call are expected output values	15	9	4	1.39	Must have	Must have	Not important	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Not important	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have
81	As an: Integration DeveloperIn order to: Build multiple librariesI want to: Use contract-enabled header-only libraries	22	6	0	1.79	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have
82	As an: Integration DeveloperIn order to: Build multiple librariesI want to: Use contract-enabled binary libraries	19	7	1	1.67	Must have	Must have	Must have	Must have	Nice to have		Must have	Nice to have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have
83	As an: Integration DeveloperIn order to: Build multiple librariesI want to: Only be required to manage a small, common set of build/link configurations	9	13	6	1.11	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Not important	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Not important	Nice to have	Not important	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have
84	As an: Integration DeveloperIn order to: Debug multiple librariesI want to: Enable checks only within a selected library	13	14	1	1.43	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have
85	As an: Integration DeveloperIn order to: Debug multiple librariesI want to: Enable checks on multiple libraries simultaneously	13	13	2	1.39	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have
86	As an: Integration DeveloperIn order to: Debug multiple call sitesI want to: Enable checks only on selected call sites	6	17	5	1.04	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Must have	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have
87	As an: Integration DeveloperIn order to: Correct failed checksI want to: Be informed what check failed, when, where, and how	18	9	1	1.61	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have
88	As an: Integration DeveloperIn order to: Correct failed checksI want to: Transmit check failure information in environment-specific ways (logs, email, special hardware traps, popup windows, blazing sirens, etc).	10	13	5	1.18	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Must have	Not important	Must have	Must have	Not important	Nice to have	Not important	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have
89	As an: Integration DeveloperIn order to: Correct failed checksI want to: Install custom violation handler where I can inject custom logic to trap errors	13	8	7	1.21	Nice to have	Must have	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Not important	Not important	Must have	Not important	Not important	Must have	Must have	Must have	Must have	Nice to have	Must have	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have
90	As an: Integration DeveloperIn order to: Unify violation handlingI want to: Be able to override how library violations are handled in the combined software to point into my handling code	14	8	6	1.29	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Not important	Must have	Not important	Not important	Must have	Nice to have	Must have	Must have	Must have	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have	Must have
91	As an: Integration DeveloperIn order to: Be independent of build environmentI want to: Be able to define and override violation handler via source code	4	9	14	0.63	Must have	Nice to have	Nice to have	Nice to have	Nice to have		Must have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Not important	Not important	Not important	Must have	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have
92	As an: Integration DeveloperIn order to: Minimize checking overheadI want to: Disable library postconditions, asserts, and invariants, without disabling library preconditions (assuming the library is tested and stable and my code is not)	7	13	8	0.96	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Must have	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Not important	Nice to have	Must have	Must have	Nice to have
93	As an: Integrated Software ProviderIn order to: Ensure the combined software is correctI want to: Turn checks on at build time	19	6	3	1.57	Not important	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have
94	As an: Integrated Software ProviderIn order to: Ensure the combined software is correctI want to: Turn checks on at run time	4	10	14	0.64	Nice to have	Not important	Nice to have	Not important	Must have	Not important	Nice to have	Not important	Not important	Must have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Must have	Not important	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have	Nice to have	Must have
95	As an: Integrated Software ProviderIn order to: Ensure the combined software is correctI want to: Turn on any subset of individual (call site) checks on at build time	9	10	8	1.04	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Not important	Nice to have	Must have	Not important	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Not important	Not important		Not important	Not important	Nice to have	Must have	Nice to have	Nice to have
96	As an: Integrated Software ProviderIn order to: Ensure the combined software is correctI want to: Turn on any subset of individual (call site) checks on at run time	3	10	15	0.57	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Must have	Nice to have	Not important	Not important	Not important	Not important	Not important	Not important	Nice to have	Must have	Nice to have	Nice to have
97	As an: Integrated Software ProviderIn order to: Ensure the combined software is correctI want to: Verify all annotations are globally consistent when integrated	2	19	6	0.85	Nice to have	Nice to have		Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Must have	Nice to have	Must have
98	As an: Integrated Software ProviderIn order to: Ensure individual features are correctI want to: Have a way to audit (named or semantic) subsets of checks for various deployments	4	14	9	0.81	Nice to have	Not important		Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Must have	Nice to have	Nice to have
99	As an: Integrated Software ProviderIn order to: Manage binary deliveryI want to: Be able to use the same executable regardless of contract enforcement mode	4	9	15	0.61	Nice to have	Not important	Must have	Not important	Must have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Must have	Not important	Not important	Not important	Must have	Nice to have	Not important
100	As an: Integrated Software ProviderIn order to: Define “Code Under Test”I want to: Selectively enable checking for a set of functions which could name either an individual function or an overload set	2	15	11	0.68	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Nice to have	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Must have	Nice to have
101	As an: Integrated Software ProviderIn order to: Define “Code Under Test”I want to: Selectively enable checking for a set of types and all their members	2	14	12	0.64	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Must have	Must have	Nice to have
102	As an: Integrated Software ProviderIn order to: Define “Code Under Test”I want to: Selectively enable checking for a set of types and all their transitively nested types and members	2	13	13	0.61	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Must have	Must have	Nice to have
103	As an: Integrated Software ProviderIn order to: Define “Code Under Test”I want to: Selectively enable checking for a translation unit or module and all (non transitive) types and functions within	4	18	6	0.93	Nice to have	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Nice to have	Must have	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Must have	Must have	Nice to have
104	As an: Integrated Software ProviderIn order to: Test final deliverableI want to: Turn off build time checking to remove checking overhead	13	6	9	1.14	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Not important	Nice to have	Not important	Not important	Must have	Not important	Not important	Must have	Not important	Must have	Not important	Must have	Must have	Not important	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Must have	Must have
105	As an: Integrated Software ProviderIn order to: Test final deliverableI want to: Turn off run time checking to remove checking overhead	21	4	3	1.64	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Not important	Must have	Must have	Not important	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have
106	As an: Integrated Software ProviderIn order to: Test final deliverableI want to: Turn on run time optimization to leverage annotation assumptions	12	11	5	1.25	Nice to have	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Must have	Not important	Nice to have
107	As a: C++ Library DeveloperIn order to: Use templatesI want to: Be able to ship header only library	23	4	1	1.79	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have
108	As a: C++ Library DeveloperIn order to: Control the tradeoff between need for client recompilation and contract condition visibilityI want to: Insulate contract conditions with the function definition, or insulate only the definition while putting contract conditions on a redeclaration - visible to static analysis tools in all TUs.	6	12	10	0.86	Not important	Not important	Nice to have	Not important	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important
109	As a: Library ProviderIn order to: Simplify maintenanceI want to: Not require extra build steps to be documented	6	9	13	0.75	Not important	Not important	Nice to have	Not important	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Must have	Must have	Must have	Not important	Must have	Not important	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Not important	Nice to have	Nice to have	Not important
110	As a: Library ProviderIn order to: Simplify maintenanceI want to: Not have users complain about my product due to modifications of annotations resulting from their build configuration	4	8	16	0.57	Not important	Not important	Not important	Not important	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Must have	Not important	Not important	Not important	Nice to have	Not important	Must have	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important
111	As a: Library ProviderIn order to: Support successful integrationI want to: Not require extra build steps to be learned or performed	4	12	12	0.71	Nice to have	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Must have	Not important	Nice to have	Nice to have	Nice to have	Not important
112	As a: Library ProviderIn order to: Support successful integrationI want to: Not have my users accidentally modify my careful annotations	7	10	11	0.86	Nice to have	Not important	Must have	Not important	Must have	Nice to have	Must have	Nice to have	Nice to have	Not important	Not important	Nice to have	Must have	Nice to have	Not important	Nice to have	Must have	Must have	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Must have	Nice to have	Not important	Nice to have	Not important
113	As a: Technical ArchitectIn order to: Maintain quality of code baseI want to: Express assertions in a way that does not rely on C macros (i.e., there is no valid technical reason for a programmer not to use the new way, including space, time, tooling, and usability/complexity reasons, compared to C’s assert macro)	9	12	7	1.07	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Not important	Not important	Must have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have
114	As a: Technical ArchitectIn order to: Have a consistent and holistic contracts facilityI want to: Specify preconditions/postconditions/assertions/invariants that express my expectations about the expected valid state of my program in the form of compilable boolean expressions, that can be checked statically or dynamically (as opposed to disjointed state where these features are factored into bits)	13	12	2	1.41	Must have	Must have	Nice to have	Not important	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have		Nice to have	Must have	Not important
115	As a: Hardware ArchitectIn order to: Improve system-level performanceI want to: Be able to design new hardware + optimizations, carefully dovetailed into one another, that depend on statically-unprovable facts being annotated in the code	10	10	6	1.15		Must have		Not important	Not important	Not important	Nice to have	Not important	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Not important	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Not important
116	As a: Senior DeveloperIn order to: Set an exampleI want to: Demonstrate best practice in defensive programming	17	8	3	1.50	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Not important	Not important	Must have	Nice to have	Must have	Must have	Must have	Not important	Must have	Nice to have	Must have
117	As a: Senior DeveloperIn order to: Enforce code qualityI want to: Discourage reliance on observable out-of-contract behavior by causing check failure to hard stop program or build	14	6	8	1.21	Not important	Must have	Not important	Not important	Must have	Not important	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Not important	Not important	Must have	Not important	Must have	Must have	Not important	Nice to have	Must have	Must have	Must have
118	As a: Senior DeveloperIn order to: Enforce mature, finalized contractsI want to: Disable continuation on violation of stable and correct individual contracts	17	7	4	1.46	Not important	Must have	Nice to have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Nice to have	Not important	Nice to have	Must have	Must have	Must have
119	As a: Senior DeveloperIn order to: Enforce mature, finalized contractsI want to: Disable remapping of semantics on stable and correct individual contracts	8	12	8	1.00	Not important	Must have	Not important	Not important	Must have	Must have	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Must have	Not important
120	As a: Junior DeveloperIn order to: Understand the APII want to: A uniform, fluent description of expected input values, expected output values, side effects, and all logical pre and post conditions	12	15	1	1.39	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Must have	Must have
121	As a: Junior DeveloperIn order to: Understand the APII want to: Be informed when my usage is out of contract	19	9	0	1.68	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have
122	As a: Junior DeveloperIn order to: Understand the programI want to: Know why my software is not building	19	6	3	1.57	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Not important	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Must have	Must have	Not important	Must have	Must have	Must have	Must have
123	As a: Junior DeveloperIn order to: Understand the programI want to: Know why my software is aborting	18	9	1	1.61	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Not important	Nice to have	Must have	Must have	Must have
124	As a: Junior DeveloperIn order to: Understand the programI want to: Know why my software is out of contract	16	11	1	1.54	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Not important	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have
125	As a: Junior DeveloperIn order to: Understand the programI want to: Know that my program or build was halted due to contract violation	21	7	0	1.75	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have
126	As a: Junior DeveloperIn order to: Understand the facilityI want to: Be able to build a program with contracts after reasonably short tutorial	14	11	3	1.39	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Not important	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Must have	Must have	Must have	Not important	Nice to have	Nice to have	Nice to have	Not important
127	As a: Junior DeveloperIn order to: Understand the facilityI want to: Have keywords with precise and unambiguous meanings	14	12	2	1.43	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Must have	Nice to have	Must have
